Date,Price,Open,High,Low,Vol. ('000),Change %
04/26/2022,38113.00,40443.00,40770.00,37708.00,681.47M,-5.72%
04/25/2022,40427.00,39464.00,40599.00,38233.00,654.60M,2.44%
04/24/2022,39464.00,39434.00,39929.00,39033.00,283.63M,0.12%
04/23/2022,39418.00,39709.00,39973.00,39291.00,190.60M,-0.73%
04/22/2022,39709.00,40487.00,40792.00,39200.00,421.30M,-1.91%
04/21/2022,40482.00,41370.00,42969.00,39793.00,493.05M,-2.14%
04/20/2022,41368.00,41499.00,42203.00,40915.00,382.84M,-0.33%
04/19/2022,41503.00,40809.00,41746.00,40585.00,268.28M,1.72%
04/18/2022,40803.00,39700.00,41095.00,38577.00,484.26M,2.77%
04/17/2022,39703.00,40382.00,40599.00,39561.00,210.01M,-1.68%
04/16/2022,40382.00,40571.00,40691.00,40003.00,151.31M,-0.44%
04/15/2022,40560.00,39936.00,40850.00,39781.00,233.09M,1.56%
04/14/2022,39936.00,41133.00,41494.00,39585.00,294.29M,-2.91%
04/13/2022,41133.00,40072.00,41515.00,39581.00,406.70M,2.63%
4/12/2022,40078.00,39507.00,40678.00,39265.00,468.27M,1.47%
4/11/2022,39497.00,42144.00,42418.00,39202.00,608.38M,-6.27%
4/10/2022,42138.00,42760.00,43421.00,41884.00,255.83M,-1.47%
4/9/2022,42767.00,42275.00,42809.00,42129.00,165.16M,1.16%
4/8/2022,42275.00,43450.00,43979.00,42113.00,467.83M,-2.70%
4/7/2022,43448.00,43166.00,43893.00,42747.00,390.85M,0.64%
4/6/2022,43173.00,45494.00,45519.00,43122.00,649.52M,-5.13%
4/5/2022,45506.00,46614.00,47201.00,45388.00,421.11M,-2.41%
4/4/2022,46629.00,46407.00,46899.00,45152.00,446.12M,0.48%
4/3/2022,46407.00,45813.00,47435.00,45554.00,398.86M,1.30%
4/2/2022,45811.00,46299.00,47212.00,45641.00,345.93M,-1.05%
4/1/2022,46297.00,45529.00,46728.00,44261.00,632.93M,1.70%
03/31/2022,45525.00,47071.00,47624.00,45228.00,520.00M,-3.29%
03/30/2022,47075.00,47449.00,47714.00,46601.00,467.76M,-0.79%
03/29/2022,47449.00,47126.00,48127.00,47029.00,478.82M,0.73%
03/28/2022,47105.00,46859.00,48199.00,46672.00,610.27M,0.52%
03/27/2022,46859.00,44542.00,46947.00,44445.00,388.79M,5.19%
03/26/2022,44548.00,44331.00,44818.00,44090.00,196.30M,0.49%
03/25/2022,44331.00,44013.00,45112.00,43622.00,494.09M,0.72%
03/24/2022,44013.00,42911.00,44251.00,42658.00,491.66M,2.57%
03/23/2022,42912.00,42373.00,43027.00,41795.00,433.96M,1.27%
03/22/2022,42373.00,41022.00,43327.90,40893.00,537.06M,3.29%
03/21/2022,41022.00,41282.00,41532.00,40530.00,406.62M,-0.62%
03/20/2022,41276.00,42241.00,42301.00,40922.00,308.45M,-2.27%
03/19/2022,42233.00,41768.00,42386.00,41529.60,224.59M,1.11%
03/18/2022,41767.80,40914.60,42308.40,40234.80,2.31B,2.08%
03/17/2022,40914.80,41118.70,41406.00,40557.80,1.90B,-0.50%
03/16/2022,41118.70,39282.50,41701.60,38953.20,4.47B,4.67%
03/15/2022,39285.70,39673.00,39854.70,38220.90,2.25B,-0.97%
03/14/2022,39671.10,37789.50,39914.30,37613.60,2.33B,4.97%
03/13/2022,37792.40,38813.20,39272.30,37603.40,1.55B,-2.63%
3/12/2022,38814.30,38730.20,39355.30,38666.50,1.11B,0.22%
3/11/2022,38730.20,39422.50,40177.00,38236.40,2.79B,-1.74%
3/10/2022,39416.30,41933.90,42029.10,38603.50,3.62B,-5.99%
3/9/2022,41929.00,38731.50,42538.50,38663.30,3.60B,8.22%
3/8/2022,38744.80,38020.60,39351.50,37886.60,2.67B,1.89%
3/7/2022,38024.80,38420.60,39532.00,37182.10,3.02B,-0.99%
3/6/2022,38403.10,39396.30,39668.10,38115.00,1.93B,-2.52%
3/5/2022,39395.80,39142.80,39600.20,38626.10,1.50B,0.65%
3/4/2022,39142.70,42463.00,42848.70,38594.90,3.21B,-7.82%
3/3/2022,42463.00,43912.80,44077.20,41840.80,74.11,-3.30%
3/2/2022,43912.80,44420.30,45294.20,43361.30,80.82,-1.14%
3/1/2022,44420.30,43187.20,44900.50,42876.60,90.67,2.85%
02/28/2022,43188.20,37707.20,43977.80,37458.90,108.07,14.59%
02/27/2022,37689.10,39116.60,39838.50,37062.30,66.14,-3.65%
02/26/2022,39115.50,39221.60,40094.50,38639.10,41.55,-0.24%
02/25/2022,39209.60,38339.20,39683.70,38042.60,83.78,2.27%
02/24/2022,38339.20,37250.20,39351.60,34357.40,180.47,2.99%
02/23/2022,37224.60,38248.20,39194.50,37099.50,64.84,-2.68%
02/22/2022,38248.20,37018.30,38414.90,36399.60,82.75,3.32%
02/21/2022,37017.70,38355.00,39444.10,36868.90,91.82,-3.49%
02/20/2022,38355.00,40089.60,40120.30,38042.20,47.92,-4.33%
02/19/2022,40090.30,40000.10,40434.30,39666.60,25.78,0.23%
02/18/2022,40000.10,40532.50,40935.50,39505.00,64.96,-1.36%
02/17/2022,40552.80,43885.50,44167.10,40103.80,72.63,-7.59%
02/16/2022,43883.60,44540.90,44552.90,43377.60,41.4,-1.48%
02/15/2022,44544.40,42550.30,44722.60,42460.10,56.34,4.69%
02/14/2022,42550.30,42061.10,42799.70,41591.30,53.6,1.16%
02/13/2022,42061.10,42205.50,42725.10,41880.10,25.88,-0.34%
2/12/2022,42205.20,42388.40,43006.40,41776.80,37.88,-0.43%
2/11/2022,42388.40,43519.30,43915.10,42023.40,69.95,-2.60%
2/10/2022,43521.00,44388.90,45755.20,43242.50,89.69,-1.96%
2/9/2022,44388.90,44038.20,44800.40,43163.00,50.92,0.80%
2/8/2022,44038.20,43833.90,45399.80,42705.00,92.88,0.47%
2/7/2022,43833.90,42385.20,44468.30,41695.40,76.6,3.40%
2/6/2022,42392.20,41411.90,42614.80,41176.30,31.2,2.37%
2/5/2022,41412.10,41566.50,41899.80,40963.30,46.32,-0.37%
2/4/2022,41567.60,37287.80,41689.00,37041.10,95.49,11.48%
2/3/2022,37287.80,36890.20,37304.30,36297.30,50.35,1.08%
2/2/2022,36890.20,38711.20,38853.80,36682.30,53.74,-4.70%
2/1/2022,38709.70,38475.60,39230.00,38037.90,55.2,0.55%
01/31/2022,38498.60,37923.80,38701.40,36672.80,61.27,1.53%
01/30/2022,37917.70,38167.50,38313.30,37390.60,34.1,-0.66%
01/29/2022,38170.80,37736.50,38663.70,37350.20,42.77,1.13%
01/28/2022,37745.10,37195.60,37995.90,36176.50,69.45,1.56%
01/27/2022,37164.30,36800.10,37215.40,35543.20,83.52,0.99%
01/26/2022,36800.40,36962.30,38862.60,36280.00,107.87,-0.41%
01/25/2022,36950.60,36691.30,37501.80,35729.30,79.68,0.72%
01/24/2022,36686.30,36268.60,37424.00,32985.60,153.77,1.15%
01/23/2022,36269.50,35072.90,36513.00,34655.20,70.43,3.40%
01/22/2022,35075.20,36467.70,36749.80,34116.00,138.09,-3.84%
01/21/2022,36475.50,40698.10,41104.60,35503.90,155.8,-10.41%
01/20/2022,40715.90,41683.60,43487.10,40568.30,65.28,-2.31%
01/19/2022,41677.80,42365.30,42558.00,41160.90,53.77,-1.62%
01/18/2022,42364.60,42209.90,42674.20,41300.70,47.32,0.37%
01/17/2022,42209.30,43080.50,43179.60,41559.40,41.44,-2.02%
01/16/2022,43079.10,43079.20,43462.00,42643.30,28.66,-0.04%
01/15/2022,43097.00,43073.60,43777.90,42586.10,31.44,0.06%
01/14/2022,43073.30,42562.20,43435.10,41848.70,50.5,1.21%
01/13/2022,42560.00,43900.00,44404.70,42337.50,53.42,-3.05%
1/12/2022,43901.00,42735.00,44243.60,42476.70,53.95,2.73%
1/11/2022,42733.20,41829.10,43090.20,41287.60,61.78,2.15%
1/10/2022,41832.20,41848.90,42243.80,39697.00,85.5,-0.04%
1/9/2022,41848.30,41681.20,42764.40,41260.90,37.51,0.42%
1/8/2022,41672.00,41551.30,42304.40,40574.30,52.54,0.30%
1/7/2022,41546.70,43097.90,43127.70,40810.00,88.36,-3.60%
1/6/2022,43097.50,43431.60,43772.30,42481.10,63.08,-0.76%
1/5/2022,43425.90,45833.10,47019.40,42535.10,83.74,-5.26%
1/4/2022,45837.30,46435.70,47505.40,45602.10,55.59,-1.28%
1/3/2022,46430.20,47293.90,47556.00,45704.00,41.06,-1.86%
1/2/2022,47311.80,47738.70,47944.90,46718.20,27.02,-0.89%
1/1/2022,47738.00,46217.50,47917.60,46217.50,31.24,3.29%
12/31/2021,46219.50,47123.30,48553.90,45693.60,58.18,-1.92%
12/30/2021,47123.30,46470.70,47901.40,46003.00,60.96,1.42%
12/29/2021,46461.70,47548.40,48121.70,46127.80,63.92,-2.28%
12/28/2021,47545.20,50703.40,50703.80,47345.70,74.39,-6.18%
12/27/2021,50678.20,50783.60,52016.30,50459.00,43.9,-0.20%
12/26/2021,50779.90,50404.00,51247.00,49527.00,32.34,0.74%
12/25/2021,50406.40,50789.60,51140.20,50196.80,26.67,-0.75%
12/24/2021,50786.10,50807.40,51795.30,50428.40,45.97,-0.03%
12/23/2021,50801.00,48599.60,51355.60,48053.40,56.24,4.53%
12/22/2021,48599.70,48898.70,49540.30,48449.70,40.89,-0.62%
12/21/2021,48902.00,46900.10,49306.10,46654.00,57.88,4.28%
12/20/2021,46895.20,46703.40,47488.90,45577.30,57.53,0.41%
12/19/2021,46704.50,46855.70,48270.20,46438.40,44.05,-0.32%
12/18/2021,46856.20,46171.80,47330.20,45513.40,36.93,1.48%
12/17/2021,46172.20,47630.40,47997.20,45523.80,67.5,-3.06%
12/16/2021,47628.20,48876.60,49387.80,47543.90,48.2,-2.54%
12/15/2021,48871.50,48366.20,49477.90,46572.60,80.28,1.04%
12/14/2021,48366.50,46709.80,48635.00,46338.30,62.54,3.56%
12/13/2021,46703.60,50075.90,50196.10,45848.20,80.37,-6.74%
12/12/2021,50081.00,49332.50,50779.20,48670.50,40.3,1.55%
12/11/2021,49314.50,47138.40,49487.00,46834.00,45.23,4.62%
12/10/2021,47137.20,47591.70,49974.80,47007.10,68.06,-0.97%
12/9/2021,47596.60,50477.60,50790.20,47341.90,58.69,-5.70%
12/8/2021,50473.90,50596.60,51204.70,48700.70,55.59,-0.24%
12/7/2021,50595.20,50547.40,51918.60,50070.90,56.29,0.07%
12/6/2021,50562.10,49412.10,50913.30,47237.90,89.68,2.34%
12/5/2021,49405.50,49196.40,49689.30,47797.80,72.03,0.43%
12/4/2021,49195.20,53620.70,53847.20,42587.80,168,-8.27%
12/3/2021,53631.50,56495.20,57543.60,52008.90,89.2,-5.07%
12/2/2021,56496.00,57207.80,57377.50,55807.90,54.94,-1.25%
12/1/2021,57210.30,56891.70,59064.30,56496.50,66.75,0.58%
11/30/2021,56882.90,57795.20,59174.40,55936.90,73.66,-1.58%
11/29/2021,57794.80,57288.10,58855.20,56726.70,58.65,0.88%
11/28/2021,57291.50,54758.00,57392.30,53448.30,49.28,4.61%
11/27/2021,54765.90,53747.20,55280.30,53654.30,40.71,1.93%
11/26/2021,53730.90,58937.30,59151.10,53533.50,104.03,-8.83%
11/25/2021,58935.10,57167.10,59387.30,57029.80,56.79,3.08%
11/24/2021,57171.70,57559.40,57697.40,55910.60,56.68,-0.70%
11/23/2021,57573.20,56304.80,57855.10,55542.50,72.48,2.25%
11/22/2021,56308.80,58719.70,59288.30,55656.80,76.45,-4.10%
11/21/2021,58714.30,59724.00,60002.60,58528.30,40.98,-1.68%
11/20/2021,59717.60,58080.80,59854.60,57435.30,44.53,2.81%
11/19/2021,58083.40,56908.30,58335.90,55626.30,74.44,1.98%
11/18/2021,56955.30,60368.20,60936.90,56524.40,100.37,-5.65%
11/17/2021,60367.80,60074.20,60814.50,58531.90,73.93,0.46%
11/16/2021,60089.10,63605.10,63605.60,58655.90,115.36,-5.52%
11/15/2021,63597.90,65514.90,66311.20,63439.50,53.53,-2.92%
11/14/2021,65508.20,64397.20,65508.20,63608.30,33.98,1.72%
11/13/2021,64398.60,64133.30,64906.00,63381.40,30.34,0.41%
11/12/2021,64134.50,64782.60,65449.70,62309.70,63.27,-1.04%
11/11/2021,64806.70,64922.80,65583.30,64121.90,50.37,-0.19%
11/10/2021,64932.60,66942.60,68990.60,62951.30,96.21,-2.95%
11/9/2021,66904.40,67528.70,68493.30,66334.90,66.13,-0.92%
11/8/2021,67527.90,63276.40,67763.30,63276.40,81.08,6.72%
11/7/2021,63273.20,61483.80,63273.20,61347.20,34.34,2.91%
11/6/2021,61483.90,60973.20,61543.20,60093.60,34.89,0.84%
11/5/2021,60974.30,61411.50,62560.30,60742.40,44.46,-0.71%
11/4/2021,61412.60,62915.40,63077.60,60742.90,49.91,-2.39%
11/3/2021,62918.50,63223.50,63508.60,60883.00,61.05,-0.48%
11/2/2021,63221.70,60912.20,64256.40,60651.50,65.26,3.79%
11/1/2021,60915.30,61310.10,62430.10,59612.70,61.21,-0.64%
10/31/2021,61309.60,61842.20,62393.70,60005.70,50.06,-0.86%
10/30/2021,61840.10,62245.00,62338.50,60786.00,40.51,-0.65%
10/29/2021,62242.80,60579.90,62952.20,60322.20,63.39,2.74%
10/28/2021,60582.50,58437.20,62251.30,58128.10,88.47,3.67%
10/27/2021,58438.10,60312.50,61452.90,58112.60,88.11,-3.11%
10/26/2021,60310.80,63067.50,63275.10,59907.30,57.13,-4.37%
10/25/2021,63067.00,60864.30,63694.80,60655.80,51.06,3.62%
10/24/2021,60866.50,61308.20,61469.90,59523.70,42.67,-0.73%
10/23/2021,61312.50,60693.20,61728.70,59738.30,37.05,1.03%
10/22/2021,60690.30,62200.80,63699.70,60055.70,75.69,-2.44%
10/21/2021,62210.20,66004.60,66616.90,62092.10,105.38,-5.71%
10/20/2021,65979.10,64276.90,66967.10,63543.70,79.87,2.65%
10/19/2021,64278.50,62030.20,64454.00,61451.00,80.16,3.58%
10/18/2021,62056.30,61525.80,62623.60,60026.90,80.15,0.86%
10/17/2021,61527.50,60865.50,61651.40,59143.40,53.39,1.09%
10/16/2021,60861.10,61669.20,62329.20,60161.90,49.93,-1.32%
10/15/2021,61672.50,57348.20,62892.80,56874.80,121.48,7.54%
10/14/2021,57345.80,57370.40,58506.50,56866.80,59.84,-0.06%
10/13/2021,57380.10,56014.50,57697.40,54314.40,73.62,2.44%
10/12/2021,56015.90,57480.60,57635.70,54155.40,74.85,-2.54%
10/11/2021,57477.30,54686.90,57814.10,54457.80,73.84,5.10%
10/10/2021,54687.70,54942.50,56432.20,54100.80,104.43,-0.46%
10/9/2021,54942.50,53924.10,55430.80,53711.70,64.65,1.91%
10/8/2021,53914.70,53785.50,55977.90,53659.30,64.05,0.24%
10/7/2021,53783.90,55325.20,55325.60,53476.40,75.68,-2.78%
10/6/2021,55323.20,51470.00,55676.10,50439.50,116.26,7.49%
10/5/2021,51469.30,49229.50,51872.40,49060.10,76.63,4.55%
10/4/2021,49227.30,48200.40,49481.70,46958.60,66.92,2.13%
10/3/2021,48200.10,47665.40,49165.20,47123.00,42.41,1.12%
10/2/2021,47666.90,48147.20,48306.90,47451.70,39.82,-1.00%
10/1/2021,48146.00,43824.40,48435.20,43292.90,94.66,9.86%
09/30/2021,43823.30,41534.50,44101.20,41416.70,64.32,5.50%
09/29/2021,41536.80,41023.10,42571.20,40815.00,48.21,1.25%
09/28/2021,41022.30,42169.90,42758.80,40906.40,60.01,-2.73%
09/27/2021,42172.60,43200.90,44293.20,42143.90,54.12,-2.39%
09/26/2021,43203.40,42685.80,43907.30,40786.60,69.91,1.21%
09/25/2021,42686.80,42818.70,42959.30,41714.50,46.35,-0.31%
09/24/2021,42819.90,44867.40,45112.00,40908.50,128.88,-4.57%
09/23/2021,44869.20,43550.70,44949.80,43090.10,74.54,3.03%
09/22/2021,43551.60,40660.80,43976.70,40585.70,93.98,7.13%
09/21/2021,40651.30,43012.30,43619.30,39646.80,142.55,-5.18%
09/20/2021,42870.60,47240.80,47323.90,42547.10,77.96,-9.25%
09/19/2021,47238.70,48299.90,48341.90,46866.60,41.98,-2.21%
09/18/2021,48306.70,47283.90,48761.00,47070.50,43.64,2.17%
09/17/2021,47282.80,47748.20,48155.90,46788.80,50.16,-0.97%
09/16/2021,47748.00,48132.30,48480.60,47040.30,60.91,-0.80%
09/15/2021,48130.60,47070.80,48436.50,46743.90,63.4,2.24%
09/14/2021,47077.50,44950.20,47247.60,44718.70,65.33,4.73%
09/13/2021,44949.50,46060.80,46807.70,43463.20,96.15,-2.42%
9/12/2021,46062.30,45162.60,46386.40,44755.20,44.52,1.99%
